gid,day,start_time,pool,black,white,division,pod,type
1,Fri,9:20:00,1,T1,T5,A,A,RR
2,Fri,9:45:00,1,T2,T4,A,A,RR
3,Fri,10:10:00,1,T6,T3,A,A,RR
4,Fri,10:35:00,1,T2,T1,A,A,RR
5,Fri,11:00:00,1,T5,T3,A,A,RR
6,Fri,11:25:00,1,T4,T6,A,A,RR
7,Fri,11:50:00,1,T12,T14,B,B,RR
8,Fri,12:20:00,1,T1,T6,A,A,RR
9,Fri,12:45:00,1,T5,T2,A,A,RR
10,Fri,13:10:00,1,T3,T4,A,A,RR
11,Fri,13:35:00,1,T6,T2,A,A,RR
12,Fri,14:00:00,1,T3,T1,A,A,RR
13,Fri,14:25:00,1,T22,T25,B,Y,RR
14,Fri,17:15:00,1,T4,T5,A,A,RR
15,Fri,17:40:00,1,T3,T2,A,A,RR
16,Fri,18:05:00,1,T4,T1,A,A,RR
17,Fri,18:30:00,1,T5,T6,A,A,RR
18,Fri,19:10:00,1,g1,g3,B,g,RR
19,Fri,19:40:00,1,g2,g4,B,g,RR
20,Fri,20:10:00,1,e2,e4,B,e,RR
21,Fri,9:20:00,2,T17,T21,B,O,RR
22,Fri,9:50:00,2,T18,T20,B,O,RR
23,Fri,10:20:00,2,T16,T12,B,B,RR
24,Fri,10:50:00,2,T15,T13,B,B,RR
25,Fri,11:20:00,2,T25,T26,B,Y,RR
26,Fri,11:50:00,2,T22,T24,B,Y,RR
27,Fri,12:20:00,2,T10,T11,B,G,RR
28,Fri,12:50:00,2,T7,T9,B,G,RR
29,Fri,13:20:00,2,T19,T20,B,O,RR
30,Fri,13:50:00,2,T21,T18,B,O,RR
31,Fri,14:20:00,2,T14,T15,B,B,RR
32,Fri,14:50:00,2,T16,T13,B,B,RR
33,Fri,15:20:00,2,T23,T24,B,Y,RR
34,Fri,15:50:00,2,T7,T10,B,G,RR
35,Fri,16:20:00,2,T8,T9,B,G,RR
36,Fri,16:50:00,2,T17,T18,B,O,RR
37,Fri,17:20:00,2,T21,T19,B,O,RR
38,Fri,17:50:00,2,T12,T13,B,B,RR
39,Fri,18:20:00,2,T14,T16,B,B,RR
40,Fri,19:10:00,2,z2,z4,B,z,RR
41,Fri,19:40:00,2,z1,z3,B,z,RR
42,Fri,9:20:00,3,T26,T22,B,Y,RR
43,Fri,9:50:00,3,T25,T23,B,Y,RR
44,Fri,10:20:00,3,T11,T7,B,G,RR
45,Fri,10:50:00,3,T10,T8,B,G,RR
46,Fri,11:20:00,3,T19,T17,B,O,RR
47,Fri,11:50:00,3,T20,T21,B,O,RR
48,Fri,12:20:00,3,T15,T16,B,B,RR
49,Fri,12:50:00,3,T26,T23,B,Y,RR
50,Fri,13:20:00,3,T24,T25,B,Y,RR
51,Fri,13:50:00,3,T11,T8,B,G,RR
52,Fri,14:20:00,3,T9,T10,B,G,RR
53,Fri,14:50:00,3,T20,T17,B,O,RR
54,Fri,15:20:00,3,T18,T19,B,O,RR
55,Fri,15:50:00,3,T12,T15,B,B,RR
56,Fri,16:20:00,3,T13,T14,B,B,RR
57,Fri,16:50:00,3,T22,T23,B,Y,RR
58,Fri,17:20:00,3,T24,T26,B,Y,RR
59,Fri,17:50:00,3,T7,T8,B,G,RR
60,Fri,18:20:00,3,T9,T11,B,G,RR
61,Fri,19:10:00,3,d1,d3,B,d,RR
62,Fri,19:40:00,3,d2,d4,B,d,RR
63,Sat,9:20:00,1,T6,T5,A,A,RR
64,Sat,9:45:00,1,T4,T1,A,A,RR
65,Sat,10:10:00,1,T3,T2,A,A,RR
66,Sat,10:35:00,1,T4,T5,A,A,RR
67,Sat,11:00:00,1,T3,T1,A,A,RR
68,Sat,11:25:00,1,T2,T6,A,A,RR
69,Sat,11:50:00,1,T3,T4,A,A,RR
70,Sat,12:15:00,1,T1,T6,A,A,RR
71,Sat,12:40:00,1,T5,T2,A,A,RR
72,Sat,13:05:00,1,T4,T6,A,A,RR
73,Sat,13:35:00,1,b1,b4,B,b,RR
74,Sat,14:05:00,1,b2,b3,B,b,RR
75,Sat,14:30:00,1,T5,T3,A,A,RR
76,Sat,14:55:00,1,T1,T2,A,A,RR
77,Sat,15:20:00,1,T6,T3,A,A,RR
78,Sat,15:45:00,1,T4,T2,A,A,RR
79,Sat,16:10:00,1,T1,T5,A,A,RR
80,Sat,16:35:00,1,Sb4,Sg1,B,,BR
81,Sat,17:15:00,1,Sb3,Sg2,B,,BR
82,Sat,17:55:00,1,SA4,SA5,A,,BR
83,Sat,18:40:00,1,SA3,SA6,A,,BR
84,Sat,9:20:00,2,e1,e3,B,e,RR
85,Sat,9:50:00,2,d1,d2,B,d,RR
86,Sat,10:20:00,2,d3,d4,B,d,RR
87,Sat,10:50:00,2,g1,g2,B,g,RR
88,Sat,11:20:00,2,g3,g4,B,g,RR
89,Sat,11:50:00,2,b1,b2,B,b,RR
90,Sat,12:20:00,2,b3,b4,B,b,RR
91,Sat,12:50:00,2,g4,g1,B,g,RR
92,Sat,13:20:00,2,g2,g3,B,g,RR
93,Sat,13:50:00,2,z4,z1,B,z,RR
94,Sat,14:20:00,2,z2,z3,B,z,RR
95,Sat,15:20:00,2,Se4,Sz1,B,,CO
96,Sat,15:55:00,2,Se3,Sz2,B,,CO
97,Sat,17:00:00,2,L96,Sz3,B,D,RR
98,Sat,17:45:00,2,Sz4,L95,B,D,RR
99,Sat,18:30:00,2,Sb2,W111,B,,BR
100,Sat,19:10:00,2,Sb1,W112,B,,BR
101,Sat,9:20:00,3,b3,b1,B,b,RR
102,Sat,9:50:00,3,b2,b4,B,b,RR
103,Sat,10:20:00,3,z1,z2,B,z,RR
104,Sat,10:50:00,3,z3,z4,B,z,RR
105,Sat,11:20:00,3,e1,e2,B,e,RR
106,Sat,11:50:00,3,e3,e4,B,e,RR
107,Sat,12:20:00,3,d4,d1,B,d,RR
108,Sat,12:50:00,3,d2,d3,B,d,RR
109,Sat,13:20:00,3,e4,e1,B,e,RR
110,Sat,13:50:00,3,e2,e3,B,e,RR
111,Sat,14:50:00,3,Sg3,Sd2,B,,CO
112,Sat,15:25:00,3,Sg4,Sd1,B,,CO
113,Sat,16:30:00,3,Sd4,Se1,B,,BR
114,Sat,17:10:00,3,Sd3,Se2,B,,BR
115,Sat,17:50:00,3,L111,W96,B,,BR
116,Sat,18:30:00,3,L112,W95,B,,BR
117,Sun,7:20:00,1,L95,L96,B,D,RR
118,Sun,8:05:00,1,SA2,W83,A,,BR
119,Sun,8:50:00,1,L96,Sz4,B,D,RR
120,Sun,9:35:00,1,SA1,W82,A,,BR
121,Sun,10:20:00,1,L95,Sz3,B,D,RR
122,Sun,11:05:00,1,L82,L83,A,,BR
123,Sun,11:50:00,1,L118,L120,A,,BR
124,Sun,12:35:00,1,W118,W120,A,,BR
125,Sun,7:20:00,2,L81,L99,B,,BR
126,Sun,8:05:00,2,L80,L100,B,,BR
127,Sun,8:50:00,2,W81,W99,B,,BR
128,Sun,9:35:00,2,W80,W100,B,,BR
129,Sun,10:20:00,2,L125,L126,B,,BR
130,Sun,11:05:00,2,W125,W126,B,,BR
131,Sun,11:50:00,2,L127,L128,B,,BR
132,Sun,12:35:00,2,W127,W128,B,,BR
133,Sun,7:20:00,3,L114,L115,B,,BR
134,Sun,8:05:00,3,L113,L116,B,,BR
135,Sun,8:50:00,3,W114,W115,B,,BR
136,Sun,9:35:00,3,W113,W116,B,,BR
137,Sun,10:20:00,3,L133,L134,B,,BR
138,Sun,11:05:00,3,W133,W134,B,,BR
139,Sun,11:50:00,3,L135,L136,B,,BR
140,Sun,12:35:00,3,W135,W136,B,,BR
